,filename,year,month,day,hour,minute,second,persons,cars,buss,trucks,bicycles
60,loc01-2022_11_12_08_21_20.jpg,2022,11,12,8,21,20,8,1,0,4,0
61,loc01-2022_11_12_08_21_51.jpg,2022,11,12,8,21,51,13,1,0,1,1
62,loc01-2022_11_12_08_22_22.jpg,2022,11,12,8,22,22,13,8,0,0,0
63,loc01-2022_11_12_08_22_53.jpg,2022,11,12,8,22,53,5,1,0,3,0
64,loc01-2022_11_12_08_23_24.jpg,2022,11,12,8,23,24,0,5,3,3,0
65,loc01-2022_11_12_08_23_55.jpg,2022,11,12,8,23,55,15,4,0,1,1
66,loc01-2022_11_12_08_24_26.jpg,2022,11,12,8,24,26,12,2,0,1,0
67,loc01-2022_11_12_08_24_57.jpg,2022,11,12,8,24,57,12,4,0,4,1
68,loc01-2022_11_12_08_25_28.jpg,2022,11,12,8,25,28,8,6,0,1,0
69,loc01-2022_11_12_08_25_58.jpg,2022,11,12,8,25,58,10,5,0,2,0
70,loc01-2022_11_12_08_26_29.jpg,2022,11,12,8,26,29,5,3,0,7,0
71,loc01-2022_11_12_08_27_00.jpg,2022,11,12,8,27,0,17,1,0,4,0
72,loc01-2022_11_12_08_27_31.jpg,2022,11,12,8,27,31,8,6,0,3,0
73,loc01-2022_11_12_08_28_02.jpg,2022,11,12,8,28,2,6,5,0,3,0
74,loc01-2022_11_12_08_28_33.jpg,2022,11,12,8,28,33,19,8,0,3,0
75,loc01-2022_11_12_08_29_04.jpg,2022,11,12,8,29,4,10,3,0,2,1
76,loc01-2022_11_12_08_29_35.jpg,2022,11,12,8,29,35,2,1,0,6,0
77,loc01-2022_11_12_08_30_06.jpg,2022,11,12,8,30,6,8,2,0,3,0
78,loc01-2022_11_12_08_30_36.jpg,2022,11,12,8,30,36,9,2,0,5,0
79,loc01-2022_11_12_08_31_07.jpg,2022,11,12,8,31,7,5,4,0,3,1
80,loc01-2022_11_12_08_31_38.jpg,2022,11,12,8,31,38,4,2,0,5,0
81,loc01-2022_11_12_08_32_09.jpg,2022,11,12,8,32,9,3,6,0,0,0
82,loc01-2022_11_12_08_32_40.jpg,2022,11,12,8,32,40,4,0,2,1,0
83,loc01-2022_11_12_08_33_11.jpg,2022,11,12,8,33,11,17,6,0,2,0
84,loc01-2022_11_12_08_33_42.jpg,2022,11,12,8,33,42,15,1,0,0,0
